M,min,max,mean,stdDev,EER
10,0.876694,0.97561,0.926152,0.012179,0.051491
20,0.900915,0.980183,0.940549,0.008982,0.045732
30,0.912892,0.986063,0.9494775,0.008087,0.041812
40,0.928862,0.985772,0.957317,0.007982,0.04065
50,0.926829,0.990244,0.9585365,0.008347,0.039024
