M,min,max,mean,stdDev,EER
10,0.872629,0.982385,0.927507,0.008591,0.04336
20,0.916159,0.98628,0.9512195,0.0071,0.036585
30,0.93554,0.993031,0.9642855,0.006916,0.031359
40,0.936992,0.993902,0.965447,0.007044,0.028455
50,0.936585,0.997561,0.967073,0.00739,0.02439
